Date,Close/Last,Volume,Open,High,Low
04/19/2021,4155.5,1584699,4165,4174.75,4141.75
04/16/2021,4176.25,1243228,4162.75,4183.5,4154.25
04/15/2021,4162.4,1238347,4123.5,4166.5,4153.75
04/14/2021,4117.9,1495066,4134.75,4130.25,4113
04/13/2021,4132.8,1040626,4122.75,4139.75,4101.25
04/12/2021,4120.3,1045031,4114.25,4124.5,4104.5
04/09/2021,4119.5,1034843,4098,4121.5,4081
04/08/2021,4089,964989,4074.25,4098.5,4072.5
04/07/2021,4069.9,1071277,4067,4075.5,4058.25
04/06/2021,4064,1233658,4069.75,4076,4058.25
04/05/2021,4067.7,1206081,4030,4073.75,4021
04/01/2021,4010,1174633,3967.5,4015.25,3964.5
03/31/2021,3967.4,1565025,3949.5,3983.75,3941.5
03/30/2021,3947.7,1567430,3965.25,3968.5,3933.75
03/29/2021,3958.9,1963304,3962.25,3971.25,3928.75
03/26/2021,3964.75,1929470,3907.5,3968,3900.75
03/25/2021,3900.5,2250189,3882.75,3909.5,3870
03/24/2021,3880.8,2025004,3905.75,3931.5,3877.5
03/23/2021,3899.8,1844653,3933.25,3906,3890.5
03/22/2021,3930,1282989,3893.5,3944.5,3885
03/19/2021,3899.75,1986486,3910.75,3923.5,3875
03/18/2021,3906,2096466,3962,3978.5,3900.5
03/17/2021,3963.6,1922176,3957.25,3973.5,3925
03/16/2021,3962.4,865750,3967,3980.5,3952.75
03/15/2021,3967.6,1252265,3945.75,3969.75,3922.25
03/12/2021,3942.25,1416883,3937.5,3947.5,3910.25
03/11/2021,3936.7,1570749,3907.75,3958.5,3893
03/10/2021,3896.5,1817563,3878.5,3916.25,3856.25
03/09/2021,3873.3,1668143,3831.25,3901.25,3826.25
03/08/2021,3819.3,2156644,3854.75,3878.75,3796.25
03/05/2021,3839,2862110,3765.5,3850,3728.5
03/04/2021,3765.6,3146558,3818,3842.25,3720.5
03/03/2021,3816.7,2159367,3867.5,3898,3813
03/02/2021,3867.6,1613403,3903.25,3906.5,3865.5
03/01/2021,3898.8,1643144,3817.25,3912,3812.5
02/26/2021,3809.25,2891634,3823.25,3822.75,3790
02/25/2021,3828,2821972,3923.5,3842.25,3810.25
02/24/2021,3922.6,1894964,3876.25,3927.75,3884.5
02/23/2021,3877.9,2239559,3878,3896,3804.75
02/22/2021,3873.6,1476357,3905.5,3914.5,3861.25
02/19/2021,3903,1378608,3910.5,3931,3890.25
02/18/2021,3909.5,1504744,3928.25,3918.5,3906
